STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	470.16	500.08	503.96	220.52	370.567454323164	416.390108795776	430.393394328557	202.747162143879	50	6	1	0	5.90948350367337
2	41	55	65	45	0	0	0	0	1	6	1	0	1
3	1012.28571428571	1069.42857142857	1135	468.714285714286	490.941437964045	493.366909870435	474.062226174702	217.481975795509	7	6	1	0	2
4	820.030303030303	865.181818181818	884.818181818182	322.090909090909	578.915855972324	662.379540235469	677.792923154473	274.619792035099	33	6	1	0	6.13191670759324
5	1598.90909090909	1882.09090909091	2001.90909090909	834.363636363636	701.181529413092	887.385788251132	950.52801876789	454.545956817904	11	6	1	0	2.78972173210708
6	2870.28571428571	3487.14285714286	3766	1617.57142857143	383.450532956325	566.057115636987	584.006360043646	292.865818686821	7	6	1	0	2
7	4445.5	7645.25	7492.25	4336.5	3208.41569158362	6753.85676391645	6435.07487815798	5000.38411024593	4	6	1	0	4
8	5145.5	6774.25	7370.25	3342.25	1006.40408758113	1080.88742475801	1348.9681704918	851.685351230136	4	6	1	0	2
9	323.833333333333	333.904761904762	327.952380952381	155.714285714286	254.012052976249	299.333132791956	286.722906401823	133.913453864594	42	6	1	0	3.32731042131793
10	871.074074074074	990.962962962963	1078.51851851852	455.592592592593	314.785881090027	429.534640493188	554.284076065376	254.595049929852	27	6	1	0	3.8575943214907
