STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	62.3730569948187	64.9533678756477	79.2694300518135	37.4559585492228	82.0120553501738	90.1678329938904	103.075546438054	55.450470468052	193	1	1	0	3.18133627984826
2	352	424.4	467.6	171.4	245.003854844957	300.983602358815	326.532278479309	113.367818282889	5	1	1	0	2
3	581.136363636364	678.227272727273	759.454545454545	319.045454545455	782.275905434836	908.261876791715	1041.84279818718	444.570330685281	22	1	1	0	3.45905293184338
4	343.421052631579	398.666666666667	461.017543859649	210.350877192982	535.366103126834	710.980148684218	803.536124108195	393.098625603386	57	1	1	0	6.13338602126061
5	182.114285714286	192.742857142857	223.371428571429	113.628571428571	294.604167524163	323.347422927354	311.812416422695	130.407691906101	35	1	1	0	2.07243779298024
6	1137.6	1309.53333333333	1539	615.466666666667	832.132757882262	965.863757741494	1131.35076104563	469.87277955098	15	1	1	0	2.50875615500134
7	1049.0625	1222.09375	1426.875	594.78125	723.052491084348	918.979735254589	1003.37608173917	520.064190486677	32	1	1	0	4.65044356190615
8	193.853846153846	203.030769230769	251.138461538462	97.2076923076923	113.581299350895	139.800830206194	145.326531969237	70.5461881836585	130	1	1	0	2.96773253590334
9	464.952380952381	503.190476190476	650.333333333333	249.333333333333	138.599817242817	144.294217309306	198.350683392892	99.6384837921722	42	1	1	0	2
10	534.625	632	745.25	324.625	168.004998995566	244.220731357926	271.329539029572	153.631636349744	8	1	1	0	2
11	1302	1262.33333333333	1571	666.666666666667	290.04884646096	193.343103201422	449.200678984349	185.765458456505	3	1	1	0	2
