STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	100.01652892562	103.900826446281	123.082644628099	57.8760330578513	146.729762483398	190.940104240081	192.165729975594	76.66895422595	121	5	1	0	4.35856506083894
2	433.884615384615	446.923076923077	526.153846153846	214.692307692308	654.228981108118	683.90441951613	814.675410314358	326.959773958483	26	5	1	0	3.97045480583578
3	515.867924528302	543.641509433962	635.075471698113	279.018867924528	518.20600015681	577.808326098673	643.792382751441	333.661792289928	53	5	1	0	6.39593451075701
4	715.952380952381	882.333333333333	939.380952380952	460.857142857143	580.450714455862	840.809745606506	830.475500982676	434.690989209315	21	5	1	0	3.26910013439675
5	2218.83333333333	2596.66666666667	2976.16666666667	1492.5	163.29144871126	341.771935002796	220.176412855187	351.428651680853	6	5	1	0	2
6	3246	3353	3755	1623	0	0	0	0	1	5	1	0	1
7	272.797872340426	266.521276595745	310.021276595745	137.744680851064	243.523621164844	281.139591094283	300.462901716917	129.536072434783	94	5	1	0	5.294208328156
8	510.6	563.933333333334	629.666666666666	293.733333333333	184.221679255783	195.706124607358	218.256939900713	129.516298419557	30	5	1	0	2
9	1100.25	1176.08333333333	1279.08333333333	596.416666666667	346.332507885873	358.684585596376	371.124695152252	186.076055985479	12	5	1	0	2
10	1020.71428571429	1054.28571428571	1309.28571428571	589.714285714286	445.090000835266	514.767320794379	637.601564983128	293.646656448762	7	5	1	0	2
11	943.7	951.1	1089.3	451.9	225.362761037621	251.238773381021	296.210130228525	158.61745253912	10	5	1	0	2
