STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	61.6557377049181	64.0573770491804	74.2909836065574	33.9303278688525	95.6274007384036	108.502499912863	117.468113439516	61.832382992652	244	2	1	0	3.28844170777167
2	921.571428571429	1129.14285714286	1266.28571428571	647.571428571429	1017.87277301282	1269.36342719732	1465.73198040001	848.497814567917	14	2	1	0	2.35430056356312
3	380.52	446.88	597.8	289.48	551.775866251667	666.406945408651	1055.04986009614	554.52762872757	25	2	1	0	3.02615465855281
4	443.033333333333	491.366666666667	575.7	257.1	400.443776698173	532.511970861793	574.335111277638	251.660717295389	30	2	1	0	2
5	1520.625	1902.125	2253.25	974.000000000001	568.125770840448	863.410209636281	974.871322082075	467.907900073711	8	2	1	0	2
6	1351.57142857143	1630.90476190476	1936.52380952381	889	902.181053475192	1126.81855802667	1275.4285541239	661.531367804202	21	2	1	0	3.07294537264208
7	200.409523809524	210.438095238095	254.396825396825	112.479365079365	109.466955302616	127.108733206066	152.323485679621	79.0922376269449	315	2	1	0	5.50499493384431
8	439.88	469	555.3	271.98	208.509269505427	241.566270679934	296.495612644981	166.006427822663	50	2	1	0	2
9	355.673913043478	395.021739130435	451.086956521739	208.956521739131	297.511030239356	378.186034457692	407.388007770963	194.551639539267	46	2	1	0	2.15003568525995
10	392.8	432.4	542.666666666667	257.133333333333	299.815860895391	380.220302612207	429.764143670904	163.249265439899	15	2	1	0	2
11	509.103448275862	580.241379310345	719.586206896552	326.310344827586	68.2388902888488	78.7861287915492	113.367254191193	90.6518460132857	29	2	1	0	2
12	745	814	955.111111111111	517.333333333333	273.644520013344	393.458724363532	453.227791499654	274.493319084859	9	2	1	0	2
13	1010.96551724138	1192.51724137931	1418.34482758621	687.827586206896	192.592244800509	275.241810596493	297.751892753006	216.824613021211	29	2	1	0	2
14	1142	1384.57142857143	1587.57142857143	789.285714285714	117.80128546473	141.486444559785	131.843931060305	69.38396148093	7	2	1	0	2
15	1018	1272	1346	1171	0	0	0	0	1	2	1	0	1
16	1246	1233	2363	1051	0	0	0	0	1	2	1	0	1
